#track type=interact name="interact Example One" description="An interact file" interactDirectional=true maxHeightPixels=200:100:50 visibility=full
#chrom       chromStart       chromEnd       name       score       value       exp       color       SourceChrom       SourceStart       SourcrEnd       SourceName       SourceStrand       targetChrom       targetStart       targetEnd       targetName       targetStrand
chr1       4783813       4808780       .       11       11       .       0       chr1       4783813       4786144       .       .       chr1       4806710       4808780       .       .
chr1       6252284       10227802       .       7       7       .       0       chr1       6252284       6252865       .       .       chr1       10227302       10227802       .       .
chr1       7088787       7122369       .       7       7       .       0       chr1       7088787       7089851       .       .       chr1       7120653       7122369       .       .
chr1       7088866       7166417       .       7       7       .       0       chr1       7088866       7089904       .       .       chr1       7165504       7166417       .       .
chr1       8416084       9548945       .       8       8       .       0       chr1       8416084       8417530       .       .       chr1       9547390       9548945       .       .
chr1       9547125       9564817       .       10       10       .       0       chr1       9547125       9548709       .       .       chr1       9563122       9564817       .       .
chr1       9547710       9562819       .       12       12       .       0       chr1       9547710       9549168       .       .       chr1       9561202       9562819       .       .
chr1       9547810       9704256       .       7       7       .       0       chr1       9547810       9549592       .       .       chr1       9702525       9704256       .       .
chr1       10080880       66828767       .       9       9       .       0       chr1       10080880       10081457       .       .       chr1       66828267       66828767       .       .
chr1       11614365       88253373       .       7       7       .       0       chr1       11614365       11614915       .       .       chr1       88252869       88253373       .       .
chr1       13561341       13575169       .       12       12       .       0       chr1       13561341       13563609       .       .       chr1       13573625       13575169       .       .
chr1       13660847       13670327       .       7       7       .       0       chr1       13660847       13661472       .       .       chr1       13669566       13670327       .       .
chr1       15188710       15690076       .       8       8       .       0       chr1       15188710       15189277       .       .       chr1       15689571       15690076       .       .
chr1       15348409       18788243       .       7       7       .       0       chr1       15348409       15348909       .       .       chr1       18787501       18788243       .       .
chr1       15447075       15632387       .       9       9       .       0       chr1       15447075       15447575       .       .       chr1       15631492       15632387       .       .
chr1       16579916       16635245       .       8       8       .       0       chr1       16579916       16580416       .       .       chr1       16634603       16635245       .       .
chr1       16652194       167537779       .       7       7       .       0       chr1       16652194       16652694       .       .       chr1       167537185       167537779       .       .
chr1       21058493       21069570       .       10       10       .       0       chr1       21058493       21060249       .       .       chr1       21067628       21069570       .       .
chr1       21105714       168472182       .       7       7       .       0       chr1       21105714       21106214       .       .       chr1       168471596       168472182       .       .
chr1       21303088       21317741       .       63       63       .       0       chr1       21303088       21309364       .       .       chr1       21313808       21317741       .       .
chr1       21303329       21326386       .       18       18       .       0       chr1       21303329       21306313       .       .       chr1       21323304       21326386       .       .
chr1       21303827       21328173       .       11       11       .       0       chr1       21303827       21305481       .       .       chr1       21326735       21328173       .       .
chr1       21304033       21320279       .       10       10       .       0       chr1       21304033       21305467       .       .       chr1       21318620       21320279       .       .
chr1       21304326       21322544       .       26       26       .       0       chr1       21304326       21307566       .       .       chr1       21320390       21322544       .       .
chr1       21306841       21326737       .       9       9       .       0       chr1       21306841       21308912       .       .       chr1       21325572       21326737       .       .
chr1       21313435       21328775       .       7       7       .       0       chr1       21313435       21314808       .       .       chr1       21327272       21328775       .       .
chr1       21315043       21328548       .       12       12       .       0       chr1       21315043       21317514       .       .       chr1       21326895       21328548       .       .
chr1       27495130       42364240       .       10       10       .       0       chr1       27495130       27495630       .       .       chr1       42363520       42364240       .       .
chr1       30950613       31013695       .       7       7       .       0       chr1       30950613       30951953       .       .       chr1       31012062       31013695       .       .
chr1       30950753       31021117       .       7       7       .       0       chr1       30950753       30951953       .       .       chr1       31019402       31021117       .       .
chr1       31018623       31095961       .       9       9       .       0       chr1       31018623       31020402       .       .       chr1       31094119       31095961       .       .
chr1       31051147       31073135       .       8       8       .       0       chr1       31051147       31052953       .       .       chr1       31072009       31073135       .       .
chr1       31072275       31095785       .       14       14       .       0       chr1       31072275       31074784       .       .       chr1       31093170       31095785       .       .
chr1       35808684       35837616       .       9       9       .       0       chr1       35808684       35809576       .       .       chr1       35837008       35837616       .       .
chr1       35836648       36073359       .       7       7       .       0       chr1       35836648       35837192       .       .       chr1       36072859       36073359       .       .
chr1       36065582       36135417       .       7       7       .       0       chr1       36065582       36066622       .       .       chr1       36134339       36135417       .       .
chr1       36076516       36101589       .       8       8       .       0       chr1       36076516       36077988       .       .       chr1       36100122       36101589       .       .
chr1       36134918       36189795       .       7       7       .       0       chr1       36134918       36135444       .       .       chr1       36189295       36189795       .       .
chr1       36263369       36274374       .       16       16       .       0       chr1       36263369       36265117       .       .       chr1       36272437       36274374       .       .
chr1       36947704       124497805       .       9       9       .       0       chr1       36947704       36948465       .       .       chr1       124497305       124497805       .       .
chr1       39619969       40055145       .       7       7       .       0       chr1       39619969       39620899       .       .       chr1       40054645       40055145       .       .
chr1       45312578       97975282       .       7       7       .       0       chr1       45312578       45313204       .       .       chr1       97974782       97975282       .       .
chr1       45760867       84450961       .       8       8       .       0       chr1       45760867       45761367       .       .       chr1       84450405       84450961       .       .
chr1       46926505       102269939       .       7       7       .       0       chr1       46926505       46927005       .       .       chr1       102269052       102269939       .       .
chr1       50233543       81147952       .       7       7       .       0       chr1       50233543       50234043       .       .       chr1       81147271       81147952       .       .
chr1       51493851       51504633       .       7       7       .       0       chr1       51493851       51494394       .       .       chr1       51504133       51504633       .       .
chr1       51738636       51763779       .       61       61       .       0       chr1       51738636       51743884       .       .       chr1       51758506       51763779       .       .
chr1       51739408       51895727       .       7       7       .       0       chr1       51739408       51740443       .       .       chr1       51895051       51895727       .       .
chr1       51739889       51753786       .       23       23       .       0       chr1       51739889       51742697       .       .       chr1       51750217       51753786       .       .
chr1       51741285       51770898       .       7       7       .       0       chr1       51741285       51742702       .       .       chr1       51769630       51770898       .       .
chr1       51759014       51770873       .       8       8       .       0       chr1       51759014       51760150       .       .       chr1       51768829       51770873       .       .
chr1       51856486       51883020       .       15       15       .       0       chr1       51856486       51859367       .       .       chr1       51881330       51883020       .       .
chr1       51877241       51895710       .       18       18       .       0       chr1       51877241       51879608       .       .       chr1       51893189       51895710       .       .
chr1       51881185       51895703       .       19       19       .       0       chr1       51881185       51883045       .       .       chr1       51893450       51895703       .       .
chr1       51881360       51892031       .       7       7       .       0       chr1       51881360       51882856       .       .       chr1       51890845       51892031       .       .
chr1       51883057       51895355       .       13       13       .       0       chr1       51883057       51884940       .       .       chr1       51892916       51895355       .       .
chr1       51894232       51912825       .       8       8       .       0       chr1       51894232       51895957       .       .       chr1       51911374       51912825       .       .
chr1       52465687       52498124       .       8       8       .       0       chr1       52465687       52466911       .       .       chr1       52496157       52498124       .       .
chr1       52466124       52485169       .       8       8       .       0       chr1       52466124       52467255       .       .       chr1       52484055       52485169       .       .
chr1       53821988       59211768       .       8       8       .       0       chr1       53821988       53822533       .       .       chr1       59211268       59211768       .       .
chr1       54566493       74595612       .       8       8       .       0       chr1       54566493       54566993       .       .       chr1       74595047       74595612       .       .
chr1       54948491       64730313       .       10       10       .       0       chr1       54948491       54949066       .       .       chr1       64729813       64730313       .       .
chr1       57372877       57389257       .       7       7       .       0       chr1       57372877       57374093       .       .       chr1       57388352       57389257       .       .
chr1       57372943       57391889       .       7       7       .       0       chr1       57372943       57373975       .       .       chr1       57390399       57391889       .       .
chr1       58481403       58713596       .       7       7       .       0       chr1       58481403       58481903       .       .       chr1       58712974       58713596       .       .
chr1       58711662       58762913       .       7       7       .       0       chr1       58711662       58712235       .       .       chr1       58762413       58762913       .       .
chr1       58713218       58723732       .       9       9       .       0       chr1       58713218       58714107       .       .       chr1       58721712       58723732       .       .
chr1       58727103       58743806       .       9       9       .       0       chr1       58727103       58728710       .       .       chr1       58742041       58743806       .       .
chr1       58733628       58745069       .       8       8       .       0       chr1       58733628       58735401       .       .       chr1       58742890       58745069       .       .
chr1       59157300       59175272       .       7       7       .       0       chr1       59157300       59158616       .       .       chr1       59174045       59175272       .       .
chr1       59197154       59209407       .       10       10       .       0       chr1       59197154       59199338       .       .       chr1       59208475       59209407       .       .
chr1       59200774       59213862       .       38       38       .       0       chr1       59200774       59203859       .       .       chr1       59209132       59213862       .       .
chr1       59207929       59221442       .       9       9       .       0       chr1       59207929       59209927       .       .       chr1       59219376       59221442       .       .
chr1       59211545       59226995       .       12       12       .       0       chr1       59211545       59212971       .       .       chr1       59225311       59226995       .       .
chr1       59321590       59389877       .       7       7       .       0       chr1       59321590       59323064       .       .       chr1       59388527       59389877       .       .
chr1       59487082       59504097       .       12       12       .       0       chr1       59487082       59488506       .       .       chr1       59501883       59504097       .       .
chr1       60517106       60852125       .       7       7       .       0       chr1       60517106       60517659       .       .       chr1       60851625       60852125       .       .
chr1       60599440       60670184       .       11       11       .       0       chr1       60599440       60600898       .       .       chr1       60668484       60670184       .       .
chr1       60658594       60669056       .       12       12       .       0       chr1       60658594       60660142       .       .       chr1       60666887       60669056       .       .
chr1       60664160       135520596       .       7       7       .       0       chr1       60664160       60664749       .       .       chr1       135520096       135520596       .       .
chr1       62346647       62729943       .       8       8       .       0       chr1       62346647       62347147       .       .       chr1       62729376       62729943       .       .
chr1       62441834       62608384       .       8       8       .       0       chr1       62441834       62442344       .       .       chr1       62607812       62608384       .       .
chr1       63113454       63124722       .       13       13       .       0       chr1       63113454       63116183       .       .       chr1       63123570       63124722       .       .
chr1       63417573       72588641       .       8       8       .       0       chr1       63417573       63418078       .       .       chr1       72588024       72588641       .       .
chr1       64742049       64755273       .       18       18       .       0       chr1       64742049       64744172       .       .       chr1       64752669       64755273       .       .
chr1       65017925       189806428       .       7       7       .       0       chr1       65017925       65018485       .       .       chr1       189805928       189806428       .       .
chr1       66749088       67115470       .       7       7       .       0       chr1       66749088       66749704       .       .       chr1       67114908       67115470       .       .
chr1       67068063       67077735       .       7       7       .       0       chr1       67068063       67069203       .       .       chr1       67076258       67077735       .       .
chr1       67075874       67125804       .       8       8       .       0       chr1       67075874       67077754       .       .       chr1       67124568       67125804       .       .
